,Subject,trial,exploration_time_apparatus,exploration_time_target,phase_occlusion_exp,exploration_time_distractor1,exploration_time_distractor2,first_choice_target,target_choice,dog_ID,breed,date_of_birth,test_date,age,sex,neutering_status,task,condition,object_l..dog.perspective.,object_m,object_r,scored.by,date
45,Ona,occlusion_exp,346.8997558,292.066461,290.2997956,323.2664391,319.0997753,1,1,19,czechoslovak_wolfdog,14/06/2020,17/02/2022,20,f,i,occlusion,incongruent,yellow_ball,dumbell,yellow_ring,Ana,
46,Paddy,occlusion_exp,333.7164445,265.3831567,263.7331578,264.4998239,358.6497613,0,1,54,irish_setter,18/03/2017,03/03/2022,59,m,i,occlusion,congruent,dumbell,yellow_ring,yellow_ball,Laura,2.4.2022.
47,Paula2,occlusion_exp,NA,727.0662812,656.7663185,664.8663142,666.3829801,0,1,2,jack_russell_terrier,16/08/2020,08/02/2022,17,f,i,occlusion,congruent,dumbell,yellow_ring,yellow_ball,Laura,
48,Pebbles3,occlusion_exp,NA,512.0164692,507.7331375,509.4331368,541.5331244,0,1,9,french_bulldog,05/01/2019,11/02/2022,37,f,n,occlusion,incongruent,yellow_ring,dumbell,yellow_ball,Ana,
49,Puck2,occlusion_exp,317.8,260.65,259.5166667,277.6666667,263.5833333,1,1,74,airedale_terrier,27/07/2018,11/03/2022,43,f,i,occlusion,congruent,yellow_ring,yellow_ball,dumbell,Laura,26.4.2022.
50,Ragnar,occlusion_exp,457.4666667,399.1666667,395.6833333,396.2333333,398.3833333,0,1,5,bedlington_terrier,01/02/2018,09/02/2022,48,m,i,occlusion,incongruent,yellow_ring,dumbell,yellow_ball,Ana and Laura,
51,Ravenna,occlusion_exp,304.9666667,236.9,236.2,999999,277.4166667,1,1,32,american_staffordshire_terrier,29/04/2017,22/02/2022,57,f,i,occlusion,congruent,yellow_ring,yellow_ball,dumbell,Laura,24.3.2022.
52,Ronja7,occlusion_exp,517.4833333,348.7666667,348.3666667,380.2333333,415.4333333,1,1,11,schnauzer,28/03/2015,12/02/2022,82,f,n,occlusion,incongruent,dumbell,yellow_ball,yellow_ring,Ana,
53,Ronja8,occlusion_exp,NA,424.8665751,420.3165761,420.7332427,422.1665757,0,1,1,jack_russell_terrier,04/06/2020,08/02/2022,20,f,i,occlusion,incongruent,yellow_ball,dumbell,yellow_ring,Ana,
54,Sahibu,occlusion_exp,294.3165929,297.6165921,287.3165946,291.7832602,293.5499264,0,1,83,mix,21/03/2014,16/03/2022,95,m,i,occlusion,incongruent,yellow_ring,dumbell,yellow_ball,Ana,30.3.2022.
55,Samba2,occlusion_exp,269.6999325,261.5499345,261.2166013,264.933267,341.0999146,1,1,21,australian_shepherd,06/06/2017,19/02/2022,56,m,i,occlusion,incongruent,dumbell,yellow_ball,yellow_ring,Laura,
56,Samira,occlusion_exp,NA,236.1833333,233.2833333,234.25,237.5,0,1,52,yorkshire_terrier,04/05/2014,01/03/2022,93,f,n,occlusion,congruent,dumbell,yellow_ball,yellow_ring,Laura,1.4.2022.
57,Sheila,occlusion_exp,300.6166667,289.2,288.5,292.55,291.8,1,1,27,mix,01/12/2012,21/02/2022,110,f,i,occlusion,incongruent,yellow_ball,dumbell,yellow_ring,Laura ,6.3.2022.
58,Sixtus,occlusion_exp,286.1,269.7833333,267.6833333,272.2166667,269.25,0,1,33,petit_brabancon,30/07/2016,23/02/2022,66,m,i,occlusion,incongruent,yellow_ring,yellow_ball,dumbell,Ana,23.2.2022.
59,Stella5,occlusion_exp,NA,310.5666667,282.3166667,318.7166667,318.0833333,1,1,70,labrador_retriever,21/09/2018,09/03/2022,41,f,i,occlusion,congruent,yellow_ball,dumbell,yellow_ring,Laura,23.4.2022.
60,Toffee3,occlusion_exp,477.05,403.9333333,402.5833333,403.2833333,404.8166667,0,1,8,continental_bulldog,19/02/2014,10/02/2022,95,f,n,occlusion,congruent,yellow_ring,yellow_ball,dumbell,Ana,21.2.2022.
61,Travis,occlusion_exp,332.1331107,334.3831092,329.7164457,331.3497779,999999,0,1,39,siberian_husky,18/03/2015,24/02/2022,83,m,n,occlusion,incongruent,yellow_ring,dumbell,yellow_ball,Ana,26.5.2022.
62,Woody,occlusion_exp,NA,373.2165802,321.3332589,324.4832582,999999,0,1,28,staffordshire_bull Terrier,11/06/2014,22/02/2022,92,m,n,occlusion,congruent,yellow_ball,dumbell,yellow_ring,Laura ,8.3.2022.
63,Woody2,occlusion_exp,436.3166667,352.0833333,351.1833333,370.3166667,363.0333333,1,1,55,border_collie,26/04/2019,03/03/2022,34,m,n,occlusion,incongruent,dumbell,yellow_ball,yellow_ring,Laura,4.4.2022.
