,Subject,trial,exploration_time_apparatus,exploration_time_target,phase_occlusion_exp,exploration_time_distractor1,exploration_time_distractor2,prop_looking_target_distractor,prop_looking_target_phase,prop_looking_apparatus_phase,dog_ID,breed,date_of_birth,test_date,age,sex,neutering_status,task,condition,object_l..dog.perspective.,object_m,object_r,scored.by,date
47,Paula2,occlusion_exp,0,0.483333077,177.7665724,0.699999629,1.333332626,0.19205298,0.00271892,0,2,jack_russell_terrier,16/08/2020,08/02/2022,17,f,i,occlusion,congruent,dumbell,yellow_ring,yellow_ball,Laura,
48,Pebbles3,occlusion_exp,0,0.933332973,182.3499297,1.166666217,0.966666294,0.304347826,0.005118362,0,9,french_bulldog,05/01/2019,11/02/2022,37,f,n,occlusion,incongruent,yellow_ring,dumbell,yellow_ball,Ana,
49,Puck2,occlusion_exp,3.516666667,16.95,182.3666667,2.799999999,2.9,0.748344371,0.092944617,0.019283495,74,airedale_terrier,27/07/2018,11/03/2022,43,f,i,occlusion,congruent,yellow_ring,yellow_ball,dumbell,Laura,26.4.2022.
50,Ragnar,occlusion_exp,3.183333334,10.76666667,187.6333333,0.9,24.46666666,0.29797048,0.057381418,0.016965713,5,bedlington_terrier,01/02/2018,09/02/2022,48,m,i,occlusion,incongruent,yellow_ring,dumbell,yellow_ball,Ana and Laura,
51,Ravenna,occlusion_exp,4.7,12.15,184.7666667,0,0.65,0.94921875,0.065758614,0.025437489,32,american_staffordshire_terrier,29/04/2017,22/02/2022,57,f,i,occlusion,congruent,yellow_ring,yellow_ball,dumbell,Laura,24.3.2022.
52,Ronja7,occlusion_exp,3.25,130.35,188.4,1.716666666,1.216666667,0.977991747,0.691878981,0.017250531,11,schnauzer,28/03/2015,12/02/2022,82,f,n,occlusion,incongruent,dumbell,yellow_ball,yellow_ring,Ana,
53,Ronja8,occlusion_exp,0,156.1332997,178.7499615,2.033332895,2.583332777,0.971280456,0.873473193,0,1,jack_russell_terrier,04/06/2020,08/02/2022,20,f,i,occlusion,incongruent,yellow_ball,dumbell,yellow_ring,Ana,
54,Sahibu,occlusion_exp,6.616665008,0.59999985,181.4999545,3.41666581,0.149999962,0.144,0.003305785,0.036455464,83,mix,21/03/2014,16/03/2022,95,m,i,occlusion,incongruent,yellow_ring,dumbell,yellow_ball,Ana,30.3.2022.
55,Samba2,occlusion_exp,6.816664961,13.74999656,182.3832877,1.7333329,11.8666637,0.50274223,0.075390661,0.037375491,21,australian_shepherd,06/06/2017,19/02/2022,56,m,i,occlusion,incongruent,dumbell,yellow_ball,yellow_ring,Laura,
56,Samira,occlusion_exp,0,127.85,183.1166667,0.866666667,1.45,0.982202305,0.698188768,0,52,yorkshire_terrier,04/05/2014,01/03/2022,93,f,n,occlusion,congruent,dumbell,yellow_ball,yellow_ring,Laura,1.4.2022.
57,Sheila,occlusion_exp,36.06666666,3.616666666,183.7833333,1.15,4.683333333,0.382716049,0.01967897,0.196245579,27,mix,01/12/2012,21/02/2022,110,f,i,occlusion,incongruent,yellow_ball,dumbell,yellow_ring,Laura ,6.3.2022.
58,Sixtus,occlusion_exp,1.716666667,3.783333333,147.1166667,1.516666667,1.5,0.556372549,0.025716551,0.011668744,33,petit_brabancon,30/07/2016,23/02/2022,66,m,i,occlusion,incongruent,yellow_ring,yellow_ball,dumbell,Ana,23.2.2022.
59,Stella5,occlusion_exp,0,1.066666667,183.2666667,1.45,0.633333333,0.338624339,0.005820298,0,70,labrador_retriever,21/09/2018,09/03/2022,41,f,i,occlusion,congruent,yellow_ball,dumbell,yellow_ring,Laura,23.4.2022.
60,Toffee3,occlusion_exp,3.55,1.883333334,182.9,1.316666667,1,0.448412698,0.010297066,0.019409513,8,continental_bulldog,19/02/2014,10/02/2022,95,f,n,occlusion,congruent,yellow_ring,yellow_ball,dumbell,Ana,21.2.2022.
61,Travis,occlusion_exp,1.766665482,0.899999397,181.7165449,0.366666421,0,0.710526316,0.004952765,0.009722095,39,siberian_husky,18/03/2015,24/02/2022,83,m,n,occlusion,incongruent,yellow_ring,dumbell,yellow_ball,Ana,26.5.2022.
62,Woody,occlusion_exp,0,0.966666443,180.9999581,0.166666628,0,0.852941177,0.0053407,0,28,staffordshire_bull Terrier,11/06/2014,22/02/2022,92,m,n,occlusion,congruent,yellow_ball,dumbell,yellow_ring,Laura ,8.3.2022.
63,Woody2,occlusion_exp,2.85,11.21666667,184.3833333,2.916666667,16.93333333,0.361051502,0.060833409,0.015456929,55,border_collie,26/04/2019,03/03/2022,34,m,n,occlusion,incongruent,dumbell,yellow_ball,yellow_ring,Laura,4.4.2022.
